,smtrat/build/smtrat-static,smtrat/build/smtrat-static,smtrat/build/smtrat-static,smtrat/build/smtrat-static,z3/build/z3,z3/build/z3,z3/build/z3,z3/build/z3
,runtime,peak_memory_kbytes,answer,exitcode,runtime,peak_memory_kbytes,answer,exitcode
M2/ArthanM2-chunk-0016.smt2,32,7108,unsat,3,32,29332,unsat,0
M2/ArthanM2-chunk-0005.smt2,23,8336,sat,2,28,30860,sat,0
M2/ArthanM2-chunk-0015.smt2,3615,46360,unsat,3,411,31876,unsat,0
M2/ArthanM2-chunk-0012.smt2,17,7104,unsat,3,805,29376,unsat,0
M2/ArthanM2-chunk-0010.smt2,17,7112,unsat,3,22,29364,unsat,0
M2/ArthanM2-chunk-0007.smt2,14,8180,sat,2,21,31824,sat,0
M2/ArthanM2-chunk-0009.smt2,14,8480,sat,2,26,30720,sat,0
M2/ArthanM2-chunk-0013.smt2,77,6796,unsat,3,31,29600,unsat,0
KM2/ArthanKM2-chunk-0002.smt2,16,8308,sat,2,28,32284,sat,0
KM2/ArthanKM2-chunk-0007.smt2,14,8124,sat,2,32,31244,sat,0
KM2/ArthanKM2-chunk-0004.smt2,25,8240,sat,2,20,30924,sat,0
KM2/ArthanKM2-chunk-0008.smt2,1273,15692,unsat,3,49,30908,unsat,0
KM2/ArthanKM2-chunk-0003.smt2,20,8216,sat,2,37,30296,sat,0
KM2/ArthanKM2-chunk-0005.smt2,124,8108,sat,2,20,30984,sat,0
1A/Arthan1A-chunk-0023.smt2,13011,12880,timeout,143,13014,44336,timeout,143
1A/Arthan1A-chunk-0019.smt2,20,8996,sat,2,22,30740,sat,0
1A/Arthan1A-chunk-0018.smt2,22,8940,sat,2,25,30756,sat,0
1A/Arthan1A-chunk-0020.smt2,12,8488,sat,2,1629,29900,sat,0
1A/Arthan1A-chunk-0022.smt2,21,8728,sat,2,1629,30316,sat,0
1A/Arthan1A-chunk-0021.smt2,17,8612,sat,2,21,31240,sat,0
1A/Arthan1A-chunk-0017.smt2,27,9000,sat,2,37,30780,sat,0
1C/Arthan1C-chunk-0005.smt2,16,8444,sat,2,22,30976,sat,0
1C/Arthan1C-chunk-0007.smt2,32,8112,sat,2,22,31292,sat,0
1C/Arthan1C-chunk-0008.smt2,13016,23636,timeout,143,28,30568,unsat,0
1C/Arthan1C-chunk-0002.smt2,20,8416,sat,2,31,30304,sat,0
1C/Arthan1C-chunk-0004.smt2,28,8352,sat,2,21,31732,sat,0
1C/Arthan1C-chunk-0003.smt2,21,8332,sat,2,21,30872,sat,0
